time,to,ti,gas,hum,press,alt,accx,accy,accz,gyrox,gyroy,gyroz,magnx,magny,magnz,vbus,ibus,pbus,tc
2021-12-08 07:48:42.134049,24.96,13993,12.88,832.94,1622.64,1.17,-0.23,9.77,0.02,-0.02,-0.0,2.7,22.2,-3.9,5.03,633.5,3.17,51.1
2021-12-08 07:48:42.377102,24.96,13993,12.88,832.94,1622.64,1.15,-0.2,9.77,0.02,-0.02,-0.0,2.25,21.9,-3.6,5.0,635.2,3.17,51.6
2021-12-08 08:05:14.113099,23.44,27139,12.22,832.98,1622.3,0.92,-0.1,9.78,0.02,-0.02,-0.0,-1.95,20.4,0.6,5.04,546.6,2.81,50.1
2021-12-08 08:05:14.379239,23.44,27139,12.22,832.98,1622.3,0.91,-0.04,9.77,0.02,-0.02,-0.01,-0.9,20.25,-0.15,5.01,589.6,2.89,50.6
2021-12-08 08:05:14.453130,23.57,11880,12.25,832.98,1622.24,0.91,-0.11,9.76,0.02,-0.02,-0.01,-2.7,20.4,-0.6,5.0,611.2,3.06,50.6
2021-12-08 08:05:14.723739,23.57,11880,12.25,832.98,1622.24,0.95,-0.16,9.88,0.02,-0.02,-0.0,-1.95,20.4,0.6,5.03,607.4,2.96,51.1
2021-12-08 08:05:14.809518,23.81,12470,12.26,832.98,1622.23,0.89,-0.07,9.81,0.01,-0.01,-0.0,-1.5,20.1,-0.6,4.98,647.1,3.14,50.6
2021-12-08 08:05:15.094639,23.81,12470,12.26,832.98,1622.23,0.89,-0.02,9.83,0.02,-0.02,-0.0,-0.45,20.55,0.15,5.0,609.6,3.03,50.6
2021-12-08 08:05:15.157629,24.06,13400,12.26,832.98,1622.24,0.95,-0.04,9.85,0.01,-0.02,-0.0,-1.95,19.65,-0.3,5.02,599.2,2.99,51.1
2021-12-08 08:05:15.422438,24.06,13400,12.26,832.98,1622.24,0.89,-0.13,9.79,0.02,-0.02,-0.01,-2.7,19.65,0.0,4.99,667.9,3.31,50.6
2021-12-08 08:05:15.498997,24.29,14488,12.26,832.99,1622.13,0.94,-0.07,9.84,0.01,-0.02,-0.0,-0.45,20.25,0.15,4.99,624.8,3.5,51.6
2021-12-08 08:05:15.782932,24.29,14488,12.26,832.99,1622.13,0.87,-0.09,9.83,0.02,-0.02,-0.01,-1.35,20.55,1.2,5.02,616.3,3.03,52.1
2021-12-08 08:07:59.583856,23.57,25976,14.33,833.07,1621.4,0.93,-0.08,9.85,0.02,-0.02,-0.0,-1.65,20.55,-0.15,5.04,551.4,2.8,50.6
2021-12-08 08:07:59.844621,23.57,25976,14.33,833.07,1621.4,0.98,-0.09,9.81,0.01,-0.03,-0.01,-0.9,19.5,-0.45,5.0,587.5,2.94,51.1
2021-12-08 08:07:59.916865,23.71,13758,14.29,833.07,1621.36,0.93,-0.09,9.82,0.01,-0.02,-0.01,-1.65,19.8,-0.15,4.99,655.8,3.35,52.1
2021-12-08 08:08:00.198677,23.71,13758,14.29,833.07,1621.36,0.95,-0.11,9.81,0.02,-0.02,-0.0,-1.95,20.1,-0.3,4.99,714.7,3.54,51.1
2021-12-08 08:08:00.275773,23.94,14613,14.24,833.08,1621.31,0.94,-0.09,9.85,0.02,-0.03,-0.0,-0.45,19.8,0.45,4.98,701.5,3.48,51.6
2021-12-08 08:08:00.572301,23.94,14613,14.24,833.08,1621.31,0.92,-0.08,9.82,0.02,-0.02,-0.0,-1.35,19.05,0.9,4.98,688.7,3.51,50.6
